"alpha","gam","eta","E0","cs"
0.873583914375631,0.0410069509562417,7.76993605846591,81.3357505969411,29.6774022894464
0.755796026640094,0.0688050701880329,7.79780797409076,2.70320809089709,7.39747883055696
0.794129378748663,0.128910646038555,5.54985640245531,40.3272256024468,4.42697969614902
0.96180924719105,0.47144633570889,6.13627785150787,49.3093547237285,1.60975200445516
0.724015244435258,0.0651123304618185,0.766284821264644,9.90298967466205,9.24644171703772
0.786001719150269,0.287182839679188,12.0295202541342,72.5985082920671,4.17986494465168
0.751403049936083,0.286644134568797,11.5554681408409,78.2024874982341,10.3125121618718
0.820274527468304,0.155130462984188,8.93683942492836,12.7862322124306,11.5244426339593
0.698124924085615,0.42735246822503,1.59090019325234,35.0626060841846,13.5517148746306
0.866795666943269,0.352963487397274,5.25015501532803,5.4671471559868,16.2550092149828
0.733608831039452,0.229888734307136,0.478643166470342,22.7357534157418,17.4701167475019
0.868969435087363,0.382613009784718,1.08054018748921,51.6595918906251,3.25966830990584
0.737790694580513,0.0671068943904603,4.95083733423774,49.754522545981,14.7303033446164
0.811496529575016,0.0281059429148778,8.40563343556747,58.9792651420614,28.1018497002612
0.877291242232988,0.441045541386796,1.08555676487982,26.739615335859,2.41281030780091
0.843646156068551,0.11602361669035,8.52378417256584,85.3689168384491,20.554941233694
0.772948340638228,0.334400063813422,10.6182959047471,15.4715089363573,0.258404084687272
0.563765932168561,0.0125391654751972,7.03065568129688,79.8480614928743,5.79167752519999
0.798134410140028,0.12869920747447,1.67576509928618,89.889348447176,4.51025729321989
0.860423915309687,0.603267731667362,4.07221069573536,70.5339376369995,5.72661668874955
0.957513706495001,0.120060640927349,6.3371284559839,30.4869545025577,4.04539289924925
0.858461817444198,0.135305500453635,8.59503970522656,30.0046765130725,16.1584472622815
0.883361459025134,0.15262147048179,10.259425697014,46.2258881925051,4.14800548106396
0.811034514548346,0.111150955219241,6.88631375124642,16.0161488562446,0.670927635993904
0.929712121759249,0.0267301107669506,9.56551145003343,63.08269982683,4.94243522174395
0.803232373884198,0.0420200653581278,11.2359153077289,15.3281304331543,9.29502919042867
0.925878207305538,0.0260176892487423,5.4594577383501,71.4023356649364,13.4731875515868
0.801553229680586,0.0261320818117269,9.92264525128011,57.6987945857594,9.80954207239774
0.938237667522551,0.0105885481204074,17.8257839539851,8.48355239354772,14.1385691683228
0.697105085268898,0.191208079485448,11.6199250159151,67.8234870783737,24.387746173842
